證券代號,證券名稱,漲停價(本日),開盤競價基準(本日),跌停價(本日),開盤競價基準(前日),收盤價(前日),買進揭示價(前日),賣出揭示價(前日),最近成交日,可否零股交易
0050,元大台灣50,91.10,82.85,74.60,82.20,82.85,82.85,82.90,108.07.11,可
0051,元大中型100,36.22,32.93,29.64,32.60,32.93,32.93,32.94,108.07.11,可
0052,富邦科技,61.05,55.50,49.95,54.65,55.50,55.30,55.55,108.07.11,可
0053,元大電子,38.94,35.40,31.86,35.00,35.40,35.34,35.50,108.07.11,可
0054,元大台商50,24.92,22.66,20.40,22.58,22.66,22.60,22.73,108.07.11,可
0055,元大MSCI金融,20.40,18.55,16.70,18.47,18.55,18.56,18.58,108.07.11,可
0056,元大高股息,29.82,27.11,24.40,26.95,27.11,27.11,27.12,108.07.11,可
0057,富邦摩台,57.80,52.55,47.30,52.00,52.55,52.35,52.70,108.07.11,可
0058,富邦發達,51.70,47.00,42.30,46.80,47.00,46.89,47.06,108.07.11,可
0059,富邦金融,52.00,47.30,42.57,47.08,47.30,47.31,47.41,108.07.11,可
0061,元大寶滬深,"9,999.95",18.12,0.01,18.16,18.12,18.12,18.13,108.07.11,可
006203,元大MSCI台灣,42.90,39.00,35.10,38.58,39.00,38.85,39.00,108.07.11,可
006204,永豐臺灣加權,60.00,54.55,49.10,54.35,54.55,54.65,54.85,108.07.11,可
006205,富邦上証,"9,999.95",31.61,0.01,31.58,31.61,31.61,31.63,108.07.11,可
006206,元大上證50,"9,999.95",33.33,0.01,33.20,33.33,33.32,33.33,108.07.11,可
006207,FH滬深,"9,999.95",23.58,0.01,23.58,23.58,23.58,23.59,108.07.11,可
006208,富邦台50,52.10,47.40,42.66,46.95,47.40,47.35,47.40,108.07.11,可
00625K,富邦上証+R,"9,999.95",7.02,0.01,7.00,7.02,6.93,7.08,108.07.11,可
00631L,元大台灣50正2,48.58,40.49,32.40,39.93,40.49,40.47,40.49,108.07.11,可
00632R,元大台灣50反1,12.63,11.49,10.35,11.59,11.49,11.49,11.50,108.07.11,可
00633L,富邦上証正2,"9,999.95",46.49,0.01,46.29,46.49,46.49,46.50,108.07.11,可
00634R,富邦上証反1,"9,999.95",6.14,0.01,6.16,6.14,6.14,6.15,108.07.11,可
00635U,元大S&P黃金,"9,999.95",20.85,0.01,20.50,20.85,20.85,20.86,108.07.11,可
00636,國泰中國A50,"9,999.95",21.96,0.01,21.90,21.96,21.96,21.97,108.07.11,可
00636K,國泰中國A50+U,"9,999.95",7.09,0.01,7.03,7.09,7.04,7.09,108.07.11,可
00637L,元大滬深300正2,"9,999.95",17.80,0.01,17.69,17.80,17.79,17.80,108.07.11,可
00638R,元大滬深300反1,"9,999.95",12.37,0.01,12.42,12.37,12.36,12.37,108.07.11,可
00639,富邦深100,"9,999.95",10.35,0.01,10.36,10.35,10.35,10.36,108.07.11,可
00640L,富邦日本正2,"9,999.95",19.02,0.01,18.84,19.02,19.01,19.02,108.07.11,可
00641R,富邦日本反1,"9,999.95",15.11,0.01,15.18,15.11,15.10,15.11,108.07.11,可
00642U,元大S&P石油,"9,999.95",17.85,0.01,17.30,17.85,17.84,17.85,108.07.11,可
00643,群益深証中小,"9,999.95",11.59,0.01,11.63,11.59,11.59,11.61,108.07.11,可
00643K,群益深証中小+R,"9,999.95",2.62,0.01,2.62,0.00,2.55,2.62,108.04.25,可
00645,富邦日本,"9,999.95",20.39,0.01,20.26,20.39,20.38,20.39,108.07.11,可
00646,元大S&P500,"9,999.95",28.33,0.01,28.16,28.33,28.31,28.33,108.07.11,可
00647L,元大S&P500正2,"9,999.95",37.63,0.01,37.11,37.63,37.63,37.68,108.07.11,可
00648R,元大S&P500反1,"9,999.95",12.03,0.01,12.10,12.03,12.03,12.04,108.07.11,可
00649,FH香港,"9,999.95",21.84,0.01,21.66,21.84,21.80,21.85,108.07.11,可
00650L,FH香港正2,"9,999.95",32.22,0.01,31.60,32.22,32.16,32.22,108.07.11,可
00651R,FH香港反1,"9,999.95",8.02,0.01,8.11,8.02,8.01,8.02,108.07.11,可
00652,富邦印度,"9,999.95",24.66,0.01,24.58,24.66,24.61,24.66,108.07.11,可
00653L,富邦印度正2,"9,999.95",29.83,0.01,29.75,29.83,29.83,29.89,108.07.11,可
00654R,富邦印度反1,"9,999.95",13.87,0.01,13.95,13.87,13.87,13.89,108.07.11,可
00655L,國泰中國A50正2,"9,999.95",33.43,0.01,33.24,33.43,33.42,33.43,108.07.11,可
00656R,國泰中國A50反1,"9,999.95",11.27,0.01,11.31,11.27,11.26,11.27,108.07.11,可
00657,國泰日經225,"9,999.95",26.77,0.01,26.76,26.77,26.80,26.82,108.07.11,可
00657K,國泰日經225+U,"9,999.95",8.65,0.01,8.55,8.65,8.62,8.67,108.07.11,可
00658L,國泰日本正2,"9,999.95",32.93,0.01,32.72,32.93,32.87,32.93,108.07.11,可
00659R,國泰日本反1,"9,999.95",12.27,0.01,12.31,12.27,12.27,12.29,108.07.11,可
00660,元大歐洲50,"9,999.95",25.65,0.01,25.64,25.65,25.65,25.68,108.07.11,可
00661,元大日經225,"9,999.95",27.36,0.01,27.36,0.00,27.31,27.40,108.07.08,可
00662,富邦NASDAQ,"9,999.95",33.40,0.01,33.01,33.40,33.40,33.41,108.07.11,可
00663L,國泰臺灣加權正2,44.92,37.44,29.96,36.87,37.44,37.36,37.41,108.07.11,可
00664R,國泰臺灣加權反1,14.33,13.03,11.73,13.14,13.03,13.03,13.05,108.07.11,可
00665L,富邦恒生國企正2,"9,999.95",27.88,0.01,27.43,27.88,27.88,27.93,108.07.11,可
00666R,富邦恒生國企反1,"9,999.95",13.26,0.01,13.47,13.26,13.24,13.27,108.07.11,可
00668,國泰美國道瓊,"9,999.95",29.60,0.01,29.50,29.60,29.60,29.62,108.07.11,可
00668K,國泰美國道瓊+U,"9,999.95",9.54,0.01,9.43,9.54,9.51,9.56,108.07.11,可
00669R,國泰美國道瓊反1,"9,999.95",12.31,0.01,12.38,12.31,12.30,12.31,108.07.11,可
00670L,富邦NASDAQ正2,"9,999.95",37.50,0.01,36.52,37.50,37.48,37.50,108.07.11,可
00671R,富邦NASDAQ反1,"9,999.95",12.17,0.01,12.31,12.17,12.16,12.17,108.07.11,可
00672L,元大S&P原油正2,"9,999.95",17.79,0.01,16.76,17.79,17.78,17.79,108.07.11,可
00673R,元大S&P原油反1,"9,999.95",14.46,0.01,14.85,14.46,14.46,14.47,108.07.11,可
00674R,元大S&P黃金反1,"9,999.95",17.75,0.01,18.07,17.75,17.74,17.75,108.07.11,可
00675L,富邦臺灣加權正2,19.40,16.17,12.94,15.94,16.17,16.14,16.17,108.07.11,可
00676R,富邦臺灣加權反1,7.75,7.05,6.35,7.12,7.05,7.04,7.05,108.07.11,可
00677U,富邦VIX,"9,999.95",4.87,0.01,4.93,4.87,4.86,4.87,108.07.11,可
00678,群益NBI生技,"9,999.95",22.14,0.01,22.22,22.14,22.13,22.14,108.07.11,可
00680L,元大美債20正2,"9,999.95",22.57,0.01,22.57,22.57,22.54,22.57,108.07.11,可
00681R,元大美債20反1,"9,999.95",16.94,0.01,16.93,16.94,16.94,16.95,108.07.11,可
00682U,元大美元指數,"9,999.95",19.29,0.01,19.34,19.29,19.22,19.26,108.07.11,可
00683L,元大美元指數正2,"9,999.95",19.01,0.01,19.25,19.01,19.01,19.02,108.07.11,可
00684R,元大美元指數反1,"9,999.95",19.20,0.01,19.11,19.20,19.20,19.23,108.07.11,可
00685L,群益臺灣加權正2,17.08,14.24,11.40,14.03,14.24,14.18,14.23,108.07.11,可
00686R,群益臺灣加權反1,8.49,7.72,6.95,7.76,7.72,7.71,7.72,108.07.11,可
00688L,國泰20年美債正2,"9,999.95",23.11,0.01,23.09,23.11,23.10,23.11,108.07.11,可
00689R,國泰20年美債反1,"9,999.95",17.32,0.01,17.33,17.32,17.32,17.33,108.07.11,可
00690,兆豐藍籌30,24.42,22.20,19.98,22.06,22.20,22.18,22.22,108.07.11,可
00691R,兆豐藍籌30反1,17.05,15.50,13.95,15.63,15.50,15.46,15.51,108.07.11,可
00692,富邦公司治理,23.76,21.60,19.44,21.49,21.60,21.60,21.61,108.07.11,可
00693U,華頓S&P黃豆,"9,999.95",15.62,0.01,15.46,15.62,15.62,15.64,108.07.11,可
00700,富邦恒生國企,"9,999.95",20.98,0.01,20.78,20.98,20.93,20.95,108.07.11,可
00701,國泰臺灣低波動30,24.88,22.62,20.36,22.52,22.62,22.61,22.62,108.07.11,可
00702,國泰標普低波高息,"9,999.95",21.71,0.01,21.69,21.71,21.71,21.73,108.07.11,可
