分數,日文,英文,網站
3.76,パティシエ シマ,Pathishieshima,https://tabelog.com/tw/tokyo/A1308/A130803/13000285/
3.76,食堂とだか,Shokudoutodaka,https://tabelog.com/tw/tokyo/A1316/A131603/13187669/
3.76,鮨 銀座 おのでら,Sushiginzaonodera,https://tabelog.com/tw/tokyo/A1301/A130101/13153824/
3.76,千寿 竹やぶ,Senjutakeyabu,https://tabelog.com/tw/tokyo/A1324/A132402/13003773/
3.76,あほう鳥,Ahoudori,https://tabelog.com/tw/tokyo/A1309/A130905/13063716/
3.76,アバスク　イチャスエタメンディ,abasukuichasuetamendhi,https://tabelog.com/tw/tokyo/A1303/A130301/13045262/
3.76,鳥栄,Toriei,https://tabelog.com/tw/tokyo/A1311/A131101/13003595/
3.76,ミネバル,MiNE BARU,https://tabelog.com/tw/tokyo/A1303/A130301/13131009/
3.76,潮州,Choushuu,https://tabelog.com/tw/tokyo/A1319/A131906/13001116/
3.76,ヴァリノール,Valinor,https://tabelog.com/tw/tokyo/A1319/A131906/13124693/
3.76,タツミ,tatsumi,https://tabelog.com/tw/tokyo/A1317/A131701/13124449/
3.76,そばきり すずき,Sobakirisuzuki,https://tabelog.com/tw/tokyo/A1328/A132801/13017457/
3.76,紫仙庵,Senan,https://tabelog.com/tw/tokyo/A1317/A131710/13038860/
3.76,ホルモン船　ホールちゃん,Horumonsenhoruchan,https://tabelog.com/tw/tokyo/A1304/A130401/13113717/
3.76,BAR オーパ 銀座,Baopa,https://tabelog.com/tw/tokyo/A1301/A130101/13002248/
3.76,エリティエ,Heritier,https://tabelog.com/tw/tokyo/A1323/A132301/13130758/
3.76,パティスリーレセンシエル,Patisserie L'essentielle,https://tabelog.com/tw/tokyo/A1323/A132302/13174296/
3.76,メゾン・ド・プティ・フール 本店,Mezondoputhifuru,https://tabelog.com/tw/tokyo/A1317/A131713/13003321/
